ARTICULO;MODELO;EAN;SUBFAMILIA;NOMBRE_SUBFAMILIA;DESCRIPCION;MARCA;PRECIO;STOCK;PVPR;IVA_TECNO;OBSOLETO;CANONDIGITAL;FAMILIA;NOMBREFAMILIA;ART_EXCLU_E;NOMBRECARACTERISTICA;VALOR;NOMBRECARACTERISTICA1;VALOR1;NOMBRECARACTERISTICA2;VALOR2;NOMBRECARACTERISTICA3;VALOR3;NOMBRECARACTERISTICA4;VALOR4;NOMBRECARACTERISTICA5;VALOR5;NOMBRECARACTERISTICA6;VALOR6;NOMBRECARACTERISTICA7;VALOR7;URLIMAGEN
01171122;HBE490MEBKNEGRO;8434778005387;HNP;HORNO POLIVALENTE;HBE490MEBKNEGRO;TEKA;198,73;0;339,629570; ; ;0;01;GAMA BLANCA; ;Altura;595;Ancho;595;Profundidad;537;Color;Negro;Clase eficiencia energetica;A;Total capacidad interior, horno;72 L;Funcion Autolimpieza; ;Tipo de limpiador; ;https://integra.hepecasa.es/01/01171122.jpg
01171123;GBC64003KBN;8434778003611;ENC;ENCIMERA A GAS;GBC64003KBN;TEKA;127,19;3;217,367710; ; ;0;01;GAMA BLANCA; ;Altura;40;Ancho;600;Tipo Gas;Encimera de gas;Profundidad;435;Numero de zonas coccion;4 zona(s);Color;Negro;Clase eficiencia energetica; ;Tipo de control;Giratorio;https://integra.hepecasa.es/01/01171123.jpg
01171124;GBC64000XBN;8434778003642;ENC;ENCIMERA A GAS;GBC64000XBN;TEKA;134,84;0;230,441560; ; ;0;01;GAMA BLANCA; ;Altura;50;Ancho;600;Tipo Gas;Encimera de gas;Profundidad;510;Numero de zonas coccion;4 zona(s);Color;Negro;Clase eficiencia energetica; ;Tipo de control;Giratorio;https://integra.hepecasa.es/01/01171124.jpg
01171125;GBC64000XBB;8434778003635;ENC;ENCIMERA A GAS;GBC64000XBB;TEKA;134,84;0;230,441560; ; ;0;01;GAMA BLANCA; ;Altura;50;Ancho;600;Tipo Gas;Encimera de gas;Profundidad;510;Numero de zonas coccion;4 zona(s);Color;Negro;Clase eficiencia energetica; ;Tipo de control;Giratorio;https://integra.hepecasa.es/01/01171125.jpg
01171126;FLAMEGZC63310XB;8434778005820;ENC;ENCIMERA A GAS;FLAMEGZC63310XB;TEKA;200,96;4;343,440640; ; ;0;01;GAMA BLANCA; ;Altura;50;Ancho;600;Tipo Gas;Encimera de gas;Profundidad;510;Numero de zonas coccion;3 zona(s);Color;Negro;Clase eficiencia energetica; ;Tipo de control;Giratorio;https://integra.hepecasa.es/01/01171126.jpg
01171127;FAMEGZC64320XBN;8434778006292;ENC;ENCIMERA A GAS;FAMEGZC64320XBN;TEKA;223,85;0;382,559650; ; ;0;01;GAMA BLANCA; ;Altura;50  ;Ancho;600  ;Tipo Gas;ENCIMERA DE GAS;Profundidad;510  ;Numero de zonas coccion;4 ZONA(S);Color;NEGRO;Clase eficiencia energetica; ;Tipo de control;GIRATORIO;https://integra.hepecasa.es/01/01171127.jpg
01171128;FAMEGZC64300XBB;8434778006186;ENC;ENCIMERA A GAS;FAMEGZC64300XBB;TEKA;221,38;0;378,338420; ; ;0;01;GAMA BLANCA; ;Altura;50;Ancho;600;Tipo Gas;Encimera de gas;Profundidad;510;Numero de zonas coccion;4 zona(s);Color;Negro;Clase eficiencia energetica; ;Tipo de control;Giratorio;https://integra.hepecasa.es/01/01171128.jpg
01171129;FAMEGZC64300XBN;8434778006193;ENC;ENCIMERA A GAS;FAMEGZC64300XBN;TEKA;213,68;2;365,179120; ; ;0;01;GAMA BLANCA; ;Altura;50;Ancho;600;Tipo Gas;Encimera de gas;Profundidad;510;Numero de zonas coccion;4 zona(s);Color;Negro;Clase eficiencia energetica; ;Tipo de control;Giratorio;https://integra.hepecasa.es/01/01171129.jpg
01171132;EW7H4854IB;7332543703197;SCD;SECADORA CARGA FRONTAL;EW7H-4854IB;ELECTROLUX;436,64;0;746,217760; ; ;0;01;GAMA BLANCA; ;Tipo;BOMBA CALOR;Altura;850;Ancho;596;Profundidad;638;Capacidad de secado;8 KG;Maxima velocidad de centrifugado;1400 RPM;Color;Blanco; ; ;https://integra.hepecasa.es/01/01171132.jpg
01171133;EW7H5825IB;7332543703203;SCD;SECADORA CARGA FRONTAL;EW7H5825IB;ELECTROLUX;365,41;0;624,485690; ; ;0;01;GAMA BLANCA; ;Tipo;BOMBA CALOR;Altura;850;Ancho;596;Profundidad;638;Capacidad de secado;8 KG;Maxima velocidad de centrifugado; ;Color;Blanco; ; ;https://integra.hepecasa.es/01/01171133.jpg
01171137;RS15345.40;8434778004410;FRG;FREGADERO;RS15345.40;TEKA;145,70;0;249,0013; ; ;0;01;GAMA BLANCA; ;Altura;200;Ancho;440;Color;Acero inoxidable;profundidad primer cuenco;20 cm;Num. orificios; ;dimension primer cuenco;440 x 380 mm;profundidad segundo cuenco; ;dimension segundo cuenco; ;https://integra.hepecasa.es/01/01171137.jpg
01171141;61001301;8421152714515;AAM;ACCESORIO DE GAMA BLANCA;61001301;TEKA;7,11;0;12,150990; ; ;0;01;GAMA BLANCA; ;Color;Negro;Productos compatibles; ;Materiales; ;Tipo de aparatos; ;Peso; ;Ancho; ; ; ; ; ;https://integra.hepecasa.es/01/01171141.jpg
01171145;BELINEARS153440;8434778004335;FRG;FREGADERO;BELINEARS153440;TEKA;104,07;0;177,855630; ; ;0;01;GAMA BLANCA; ;Altura;200;Ancho;380;Color;Acero inoxidable;profundidad primer cuenco; ;Num. orificios; ;dimension primer cuenco;340 x 400 mm;profundidad segundo cuenco; ;dimension segundo cuenco; ;https://integra.hepecasa.es/01/01171145.jpg
01171238;CUADRO90NG;7612985650151;CAM;CAMPANA DECORATIVA;CUADRO90NG;MEPAMSA;189,03;0;323,052270; ; ;0;01;GAMA BLANCA; ;Ancho Frigos Agrupada; ;Color;Negro;Ancho;895;Max. Capacidad Extracc.;580 m³/h;Numero de velocidades; ;Clase eficiencia energetica;A;Nivel de ruido;67 dB;Consumo energetico; ;https://integra.hepecasa.es/01/01171238.jpg
01171253;HRB6300ATANTRAC;8434778008616;HNO;HORNO ENCASTRE;HBR6300ATANTRAC;TEKA;320,63;3;547,956670; ; ;0;01;GAMA BLANCA; ;Altura;595;Ancho;595;Profundidad;537;Tipo de horno;Horno eléctrico;Color;Negro;Clase eficiencia energetica;A;Total capacidad interior, horno;70 L;Funcion Autolimpieza;SI;https://integra.hepecasa.es/01/01171253.jpg
01171256;EOA9S31CX;7332543660612;HNO;HORNO ENCASTRE;EOA9S31CX;ELECTROLUX;871,40;0;1489,2226; ; ;0;01;GAMA BLANCA; ;Altura;594;Ancho;595;Profundidad;567;Tipo de horno;Horno eléctrico;Color;Acero inoxidable;Clase eficiencia energetica;A++;Total capacidad interior, horno;70 L;Funcion Autolimpieza;Si;https://integra.hepecasa.es/01/01171256.jpg
01171307;CDPMN 4S622PX;8016361983748;LVV;LAVAVAJILLAS DE 60 CM;CDPMN 4S622PX;CANDY;403,83;0;690,145470; ; ;0;01;GAMA BLANCA; ;Ancho Frigos Agrupada; ;Altura;850;Ancho;600;Profundidad;600;Color;ACERO INOXIDABLE;Num. Cubiertos;16 cubiertos;Num. programas lavado;12;3ª Bandeja; ;https://integra.hepecasa.es/01/01171307.jpg
01171309;CDPN 1L390PW;8016361974593;LVV;LAVAVAJILLAS DE 60 CM;CDPN 1L390PW;CANDY;268,79;0;459,362110; ; ;0;01;GAMA BLANCA; ;Ancho Frigos Agrupada; ;Altura;845;Ancho;600;Profundidad;600;Color;BLANCO;Num. Cubiertos;13 cubiertos;Num. programas lavado;5;3ª Bandeja; ;https://integra.hepecasa.es/01/01171309.jpg
